player,season,team,pos,age,minutos_totales,partidos_totales,minutos_por_partido,ws,per
Zaza Pachulia,2012,ATL,C,27,"1640,0","58,0","28,3","5,0","14,0"
Ronnie Brewer,2012,CHI,SG,26,"1635,0","66,0","24,8","3,9","12,3"
Kevin Love,2012,MIN,PF,23,"2145,0","55,0","39,0","10,0","25,4"
James Harden,2012,OKC,SG,22,"1946,0","62,0","31,4","9,3","21,1"
Derrick Williams,2012,MIN,PF,20,"1418,0","66,0","21,5","1,8","12,9"
Linas Kleiza,2012,TOR,SF,27,"1057,0","49,0","21,6","1,5","12,4"
Jonas Jerebko,2012,DET,PF,24,"1468,0","64,0","22,9","3,3","14,2"
Daniel Gibson,2012,CLE,SG,25,"916,0","35,0","26,2","0,5","9,2"
J.J. Barea,2012,MIN,PG,27,"1032,0","41,0","25,2","1,2","14,9"
Ramon Sessions,2012,LAL,PG,25,"1707,0","64,0","26,7","3,7","16,7"
Randy Foye,2012,LAC,SG,28,"1682,0","65,0","25,9","3,2","13,5"
Jared Dudley,2012,PHO,SG,26,"2020,0","65,0","31,1","5,1","15,4"
Brandon Bass,2012,BOS,PF,26,"1868,0","59,0","31,7","4,7","14,1"
Chris Andersen,2012,DEN,C,33,"486,0","32,0","15,2","1,9","18,9"
Danilo Gallinari,2012,DEN,SF,23,"1351,0","43,0","31,4","3,9","16,5"
Udonis Haslem,2012,MIA,PF,31,"1589,0","64,0","24,8","3,5","10,9"
Spencer Hawes,2012,PHI,C,23,"920,0","37,0","24,9","2,9","18,1"
Wesley Johnson,2012,MIN,SF,24,"1469,0","65,0","22,6","0,6","8,0"
Mario Chalmers,2012,MIA,PG,25,"1825,0","64,0","28,5","4,3","12,9"
Jordan Farmar,2012,NJN,PG,25,"831,0","39,0","21,3","1,8","17,4"
Anthony Morrow,2012,NJN,SG,26,"1636,0","62,0","26,4","1,7","13,1"
Hakim Warrick,2012,PHO,PF,29,"503,0","35,0","14,4","0,5","13,1"
Steve Blake,2012,LAL,PG,31,"1237,0","53,0","23,3","1,0","8,5"
Ryan Gomes,2012,LAC,SF,29,"425,0","32,0","13,3","-0,2","4,4"
Tiago Splitter,2012,SAS,C,27,"1121,0","59,0","19,0","4,6","20,5"
Matt Carroll,2012,CHA,SG,31,"596,0","53,0","11,2","-0,6","5,6"
DeMarcus Cousins,2012,SAC,C,21,"1950,0","64,0","30,5","4,2","21,7"
Dorell Wright,2012,GSW,SF,26,"1650,0","61,0","27,0","3,4","15,0"
Nazr Mohammed,2012,OKC,C,34,"692,0","63,0","11,0","1,3","11,0"
Mike Dunleavy,2012,MIL,SF,31,"1445,0","55,0","26,3","4,4","16,6"
Tristan Thompson,2012,CLE,PF,20,"1424,0","60,0","23,7","1,1","13,3"
C.J. Miles,2012,UTA,SG,24,"1145,0","56,0","20,4","1,5","12,4"
Joel Anthony,2012,MIA,C,29,"1349,0","64,0","21,1","3,4","10,3"
Nick Young,2012,LAC,SG,26,"1729,0","62,0","27,9","1,9","12,9"
Luke Ridnour,2012,MIN,SG,30,"1750,0","53,0","33,0","3,3","13,6"
Matt Bonner,2012,SAS,PF,31,"1326,0","65,0","20,4","4,0","13,2"
Shannon Brown,2012,PHO,SG,26,"1400,0","59,0","23,7","1,6","13,6"
Carlos Delfino,2012,MIL,SF,29,"1537,0","54,0","28,5","2,4","11,7"
Shaun Livingston,2012,MIL,SG,26,"1092,0","58,0","18,8","1,3","11,0"
Ricky Rubio,2012,MIN,PG,21,"1404,0","41,0","34,2","2,0","14,6"
Raja Bell,2012,UTA,SG,35,"796,0","34,0","23,4","1,1","8,3"
Jonny Flynn,2012,POR,PG,22,"416,0","29,0","14,3","0,1","11,2"
C.J. Watson,2012,CHI,PG,27,"1159,0","49,0","23,7","2,6","13,3"
Marco Belinelli,2012,NOH,SG,25,"1966,0","66,0","29,8","2,9","11,9"
DeMar DeRozan,2012,TOR,SG,22,"2206,0","63,0","35,0","2,5","12,8"
Timofey Mozgov,2012,DEN,C,25,"687,0","44,0","15,6","1,1","13,2"
Daequan Cook,2012,OKC,SG,24,"989,0","57,0","17,4","1,6","9,2"
Thabo Sefolosha,2012,OKC,SG,27,"914,0","42,0","21,8","1,8","9,8"
Ekpe Udoh,2012,MIL,C,24,"1290,0","61,0","21,1","2,1","12,5"
Nick Collison,2012,OKC,PF,31,"1307,0","63,0","20,7","3,5","12,1"
Chris Duhon,2012,ORL,PG,29,"1226,0","63,0","19,5","1,3","8,4"
Will Bynum,2012,DET,PG,29,"514,0","36,0","14,3","-0,2","10,0"
Johan Petro,2012,NJN,C,26,"920,0","59,0","15,6","0,7","10,3"
Tony Allen,2012,MEM,SG,30,"1525,0","58,0","26,3","4,2","15,7"
Shawne Williams,2012,NJN,SF,25,"514,0","25,0","20,6","-0,4","4,9"
Shane Battier,2012,MIA,SF,33,"1499,0","65,0","23,1","3,3","9,7"
Stephen Curry,2012,GSW,PG,23,"732,0","26,0","28,2","2,2","21,2"
Corey Brewer,2012,DEN,SF,25,"1287,0","59,0","21,8","2,3","13,7"
Jerryd Bayless,2012,TOR,PG,23,"705,0","31,0","22,7","2,0","17,7"
Greg Monroe,2012,DET,C,21,"2082,0","66,0","31,5","7,0","22,0"
Jason Thompson,2012,SAC,PF,25,"1657,0","64,0","25,9","3,9","16,4"
Travis Outlaw,2012,SAC,SF,27,"500,0","39,0","12,8","-0,1","9,6"
Jeff Foster,2012,IND,C,35,"141,0","11,0","12,8","0,4","11,1"
Josh McRoberts,2012,LAL,PF,24,"718,0","50,0","14,4","1,4","10,9"
Chris Wilcox,2012,BOS,C,29,"481,0","28,0","17,2","1,3","12,4"
Vince Carter,2012,DAL,SG,35,"1542,0","61,0","25,3","2,9","13,6"
Brandon Rush,2012,GSW,SF,26,"1717,0","65,0","26,4","3,5","15,2"
Anthony Randolph,2012,MIN,PF,22,"517,0","34,0","15,2","1,1","17,6"
Robin Lopez,2012,PHO,C,23,"895,0","64,0","14,0","2,1","15,2"
Jordan Hill,2012,LAL,C,24,"551,0","39,0","14,1","1,4","15,8"
James Johnson,2012,TOR,SF,24,"1561,0","62,0","25,2","2,6","14,5"
Bismack Biyombo,2012,CHA,C,19,"1455,0","63,0","23,1","0,6","10,6"
Lou Amundson,2012,IND,PF,29,"753,0","60,0","12,6","1,0","11,5"
Al-Farouq Aminu,2012,NOH,SF,21,"1477,0","66,0","22,4","1,4","10,6"
Marreese Speights,2012,MEM,PF,24,"1345,0","60,0","22,4","2,7","14,1"
Gordon Hayward,2012,UTA,SF,21,"2015,0","66,0","30,5","4,9","15,5"
Dahntay Jones,2012,IND,SF,31,"1052,0","65,0","16,2","2,0","10,3"
Jrue Holiday,2012,PHI,PG,21,"2196,0","65,0","33,8","4,2","14,7"
Roy Hibbert,2012,IND,C,25,"1937,0","65,0","29,8","6,2","19,3"
Brandon Knight,2012,DET,PG,20,"2129,0","66,0","32,3","1,3","11,7"
Kenyon Martin,2012,LAC,PF,34,"940,0","42,0","22,4","0,9","9,9"
Aaron Gray,2012,TOR,C,27,"813,0","49,0","16,6","1,4","11,1"
Reggie Williams,2012,CHA,SF,25,"747,0","33,0","22,6","0,3","12,4"
Jason Smith,2012,NOH,PF,25,"947,0","40,0","23,7","2,2","16,6"
DeShawn Stevenson,2012,NJN,SF,30,"960,0","51,0","18,8","-0,3","4,3"
Brandon Jennings,2012,MIL,PG,22,"2331,0","66,0","35,3","5,5","18,4"
JaVale McGee,2012,DEN,C,24,"1535,0","61,0","25,2","4,1","19,9"
Quentin Richardson,2012,ORL,SF,31,"866,0","48,0","18,0","1,3","8,7"
Paul George,2012,IND,SG,21,"1958,0","66,0","29,7","6,0","16,5"
Kemba Walker,2012,CHA,PG,21,"1792,0","66,0","27,2","0,3","14,9"
Jimmer Fredette,2012,SAC,PG,22,"1135,0","61,0","18,6","0,3","10,8"
Derek Fisher,2012,OKC,PG,37,"1508,0","63,0","23,9","1,2","8,0"
Cole Aldrich,2012,OKC,C,23,"173,0","26,0","6,7","0,6","17,7"
Gerald Henderson,2012,CHA,SG,24,"1831,0","55,0","33,3","1,0","14,0"
Anthony Parker,2012,CLE,SF,36,"1280,0","51,0","25,1","1,4","10,9"
Keyon Dooling,2012,BOS,SG,31,"662,0","46,0","14,4","0,6","6,9"
Ben Wallace,2012,DET,C,37,"980,0","62,0","15,8","1,4","10,7"
Ryan Anderson,2012,ORL,PF,23,"1964,0","61,0","32,2","8,9","21,2"
Courtney Lee,2012,HOU,SG,26,"1757,0","58,0","30,3","3,2","12,6"
Ed Davis,2012,TOR,PF,22,"1534,0","66,0","23,2","3,9","14,2"
Kosta Koufos,2012,DEN,C,22,"792,0","48,0","16,5","2,7","17,3"
Xavier Henry,2012,NOH,SG,20,"759,0","45,0","16,9","0,2","9,2"
Nicolas Batum,2012,POR,SF,23,"1791,0","59,0","30,4","4,8","17,3"
Josh Howard,2012,UTA,SF,31,"991,0","43,0","23,0","0,5","10,5"
Tyler Hansbrough,2012,IND,PF,26,"1442,0","66,0","21,8","3,9","14,7"
Klay Thompson,2012,GSW,SG,21,"1608,0","66,0","24,4","1,7","14,9"
Alec Burks,2012,UTA,SG,20,"939,0","59,0","15,9","1,5","14,0"
Anthony Tolliver,2012,MIN,SF,26,"882,0","51,0","17,3","0,9","8,3"
Markieff Morris,2012,PHO,PF,22,"1227,0","63,0","19,5","1,5","12,1"
D.J. White,2012,CHA,PF,25,"1098,0","58,0","18,9","0,8","12,4"
Chauncey Billups,2012,LAC,SG,35,"607,0","20,0","30,4","1,7","16,1"
Dante Cunningham,2012,MEM,PF,24,"1124,0","64,0","17,6","3,4","14,9"
Earl Watson,2012,UTA,PG,32,"1033,0","50,0","20,7","0,4","9,5"
Patrick Patterson,2012,HOU,PF,22,"1483,0","64,0","23,2","1,6","11,5"
Austin Daye,2012,DET,SF,23,"603,0","41,0","14,7","-0,6","7,1"
Matt Barnes,2012,LAL,SF,31,"1440,0","63,0","22,9","4,3","15,5"
Larry Sanders,2012,MIL,PF,23,"643,0","52,0","12,4","1,0","13,3"
Kawhi Leonard,2012,SAS,SF,20,"1534,0","64,0","24,0","5,5","16,6"
Ty Lawson,2012,DEN,PG,24,"2124,0","61,0","34,8","6,9","19,4"
Eric Bledsoe,2012,LAC,PG,22,"464,0","40,0","11,6","0,2","11,2"
Jeff Teague,2012,ATL,PG,23,"2183,0","66,0","33,1","6,0","15,8"
Sebastian Telfair,2012,PHO,PG,26,"895,0","60,0","14,9","1,1","13,2"
Iman Shumpert,2012,NYK,PG,21,"1705,0","59,0","28,9","2,4","10,8"
George Hill,2012,IND,PG,25,"1274,0","50,0","25,5","4,0","15,7"
Avery Bradley,2012,BOS,PG,21,"1368,0","64,0","21,4","2,4","11,3"
Gary Forbes,2012,TOR,SG,26,"713,0","48,0","14,9","0,8","13,3"
James Jones,2012,MIA,SG,31,"666,0","51,0","13,1","1,7","9,7"
Chris Singleton,2012,WAS,SF,22,"1431,0","66,0","21,7","1,5","8,3"
Darren Collison,2012,IND,PG,24,"1878,0","60,0","31,3","3,8","13,6"
Elliot Williams,2012,POR,SG,22,"149,0","24,0","6,2","0,3","18,8"
Tobias Harris,2012,MIL,SF,19,"479,0","42,0","11,4","0,9","14,2"
Craig Brackins,2012,PHI,PF,24,"88,0","14,0","6,3","-0,1","4,3"
James Anderson,2012,SAS,SG,22,"603,0","51,0","11,8","0,5","8,8"
Nolan Smith,2012,POR,PG,23,"541,0","44,0","12,3","-0,3","7,8"
Jamaal Tinsley,2012,UTA,PG,33,"507,0","37,0","13,7","0,1","10,9"
Kurt Thomas,2012,POR,C,39,"803,0","53,0","15,2","1,1","9,5"
Omri Casspi,2012,CLE,SF,23,"1341,0","65,0","20,6","1,2","11,2"
Hamed Haddadi,2012,MEM,C,26,"206,0","35,0","5,9","0,6","16,3"
Trevor Booker,2012,WAS,PF,24,"1261,0","50,0","25,2","3,0","15,4"
Serge Ibaka,2012,OKC,PF,22,"1792,0","66,0","27,2","6,2","19,0"
Byron Mullens,2012,CHA,C,22,"1465,0","65,0","22,5","0,2","13,0"
Kenneth Faried,2012,DEN,PF,22,"1037,0","46,0","22,5","4,6","21,9"
Rodrigue Beaubois,2012,DAL,PG,23,"1151,0","53,0","21,7","2,2","15,3"
Brian Cook,2012,WAS,PF,31,"276,0","32,0","8,6","-0,1","5,8"
Royal Ivey,2012,OKC,SG,30,"354,0","34,0","10,4","0,2","4,7"
Taj Gibson,2012,CHI,PF,26,"1284,0","63,0","20,4","4,5","16,9"
Dominique Jones,2012,DAL,SG,23,"268,0","33,0","8,1","0,2","11,8"
Sam Young,2012,PHI,SF,26,"375,0","35,0","10,7","0,2","9,7"
Earl Clark,2012,ORL,PF,24,"559,0","45,0","12,4","0,3","8,1"
Reggie Jackson,2012,OKC,PG,21,"501,0","45,0","11,1","0,1","9,2"
Wayne Ellington,2012,MIN,SG,24,"973,0","51,0","19,1","0,8","9,4"
Quincy Pondexter,2012,MEM,SF,23,"1002,0","64,0","15,7","1,7","9,4"
Toney Douglas,2012,NYK,PG,25,"656,0","38,0","17,3","-0,6","7,1"
Jordan Hamilton,2012,DEN,SF,21,"258,0","26,0","9,9","0,3","13,9"
Jordan Crawford,2012,WAS,SG,23,"1753,0","64,0","27,4","1,1","14,5"
Daniel Orton,2012,ORL,PF,21,"187,0","16,0","11,7","0,5","12,7"
Lazar Hayward,2012,OKC,SF,25,"141,0","26,0","5,4","-0,1","3,1"
Norris Cole,2012,MIA,PG,23,"1260,0","65,0","19,4","0,0","7,9"
Cory Joseph,2012,SAS,PG,20,"266,0","29,0","9,2","0,0","6,9"
Von Wafer,2012,ORL,SG,26,"469,0","33,0","14,2","0,4","11,4"
MarShon Brooks,2012,NJN,SG,23,"1648,0","56,0","29,4","0,8","12,9"
Stephen Jackson,2012,SAS,SF,33,"1212,0","47,0","25,8","0,6","10,7"
DeJuan Blair,2012,SAS,PF,22,"1363,0","64,0","21,3","4,0","17,6"
JaJuan Johnson,2012,BOS,PF,22,"298,0","36,0","8,3","0,2","11,4"
Jimmy Butler,2012,CHI,SG,22,"359,0","42,0","8,5","1,1","12,5"
Jon Brockman,2012,MIL,PF,24,"239,0","35,0","6,8","0,1","6,6"
Jeremy Pargo,2012,MEM,PG,25,"424,0","44,0","9,6","-0,8","4,4"
Ian Mahinmi,2012,DAL,C,25,"1139,0","61,0","18,7","3,4","13,5"
John Lucas III,2012,CHI,PG,29,"726,0","49,0","14,8","2,2","16,3"
Brandan Wright,2012,DAL,C,24,"791,0","49,0","16,1","3,5","21,6"
Henry Walker,2012,NYK,SG,24,"620,0","32,0","19,4","0,9","8,2"
DeMarre Carroll,2012,UTA,SF-PF,25,"348,0","24,0","14,5","0,5","11,1"
Jannero Pargo,2012,ATL,PG,32,"671,0","50,0","13,4","1,3","13,6"
Josh Davis,2012,MEM,PF,31,"130,0","15,0","8,7","0,3","11,3"
Jodie Meeks,2012,PHI,SG,24,"1644,0","66,0","24,9","4,1","11,5"
Jamaal Magloire,2012,TOR,C,33,"374,0","34,0","11,0","-0,2","2,7"
Maurice Evans,2012,WAS,SF,33,"343,0","24,0","14,3","0,3","9,0"
Dominic McGuire,2012,GSW,PF,26,"1127,0","64,0","17,6","1,5","11,8"
Derrick Brown,2012,CHA,SF,24,"1443,0","65,0","22,2","2,3","14,7"
Tracy McGrady,2012,ATL,SF,32,"837,0","52,0","16,1","1,6","13,6"
Trey Johnson,2012,NOH,SG,27,"61,0","11,0","5,5","0,1","11,8"
Reggie Evans,2012,LAC,PF,31,"771,0","56,0","13,8","1,3","9,2"
Hassan Whiteside,2012,SAC,C,22,"109,0","18,0","6,1","0,2","16,2"
Craig Smith,2012,POR,PF,28,"464,0","47,0","9,9","1,0","13,6"
Jared Jeffries,2012,NYK,PF,30,"729,0","39,0","18,7","1,7","10,9"
A.J. Price,2012,IND,PG,25,"568,0","44,0","12,9","0,7","11,5"
Ronnie Price,2012,PHO,PG,28,"517,0","36,0","14,4","0,1","8,4"
Tony Battie,2012,PHI,C,35,"295,0","27,0","10,9","0,5","7,3"
Willie Green,2012,ATL,SG,30,"922,0","53,0","17,4","2,4","13,9"
DaJuan Summers,2012,NOH,SF,24,"209,0","15,0","13,9","0,2","9,0"
Baron Davis,2012,NYK,PG,32,"595,0","29,0","20,5","0,2","10,0"
Mike Bibby,2012,NYK,PG,33,"557,0","39,0","14,3","0,7","7,8"
Chase Budinger,2012,HOU,SF,23,"1298,0","58,0","22,4","3,0","14,9"
Jason Collins,2012,ATL,C,33,"308,0","30,0","10,3","0,2","3,7"
Jerry Stackhouse,2012,ATL,SF,37,"273,0","30,0","9,1","0,3","11,5"
Shelden Williams,2012,NJN,C,28,"1276,0","58,0","22,0","2,1","11,9"
Rasual Butler,2012,TOR,SF,32,"453,0","34,0","13,3","-0,2","4,8"
Steve Novak,2012,NYK,PF,28,"1020,0","54,0","18,9","3,9","15,9"
Marquis Daniels,2012,BOS,SG,31,"484,0","38,0","12,7","0,1","8,1"
Juwan Howard,2012,MIA,PF,38,"190,0","28,0","6,8","-0,3","3,6"
Danny Green,2012,SAS,SG,24,"1522,0","66,0","23,1","4,5","15,5"
Sundiata Gaines,2012,NJN,SG,25,"793,0","57,0","13,9","1,0","15,0"
Damien Wilkins,2012,DET,SF,32,"922,0","60,0","15,4","0,4","6,9"
Jason Kapono,2012,LAL,SG,30,"269,0","27,0","10,0","0,1","4,5"
T.J. Ford,2012,SAS,PG,28,"191,0","14,0","13,6","0,2","11,0"
Alonzo Gee,2012,CLE,SG,24,"1827,0","63,0","29,0","2,4","13,2"
Anthony Carter,2012,TOR,PG,36,"209,0","24,0","8,7","0,0","8,7"
Delonte West,2012,DAL,PG,28,"1060,0","44,0","24,1","2,2","15,3"
Troy Murphy,2012,LAL,PF,31,"956,0","59,0","16,2","1,7","9,0"
Eddy Curry,2012,MIA,C,29,"83,0","14,0","5,9","-0,1","3,6"
Brian Cardinal,2012,DAL,SF,34,"277,0","44,0","6,3","0,0","3,3"
Brian Scalabrine,2012,CHI,PF,33,"122,0","28,0","4,4","0,3","13,5"
Gary Neal,2012,SAS,SG,27,"1206,0","56,0","21,5","2,5","14,2"
Chandler Parsons,2012,HOU,SF,23,"1804,0","63,0","28,6","3,4","13,3"
Solomon Alabi,2012,TOR,C,23,"122,0","14,0","8,7","0,2","14,2"
Michael Redd,2012,PHO,SG,32,"770,0","51,0","15,1","0,8","13,9"
Lance Stephenson,2012,IND,SG,21,"442,0","42,0","10,5","-0,3","7,0"
Tyler Honeycutt,2012,SAC,SF,21,"88,0","15,0","5,9","0,0","10,4"
Solomon Jones,2012,NOH,C-PF,27,"292,0","21,0","13,9","0,3","9,1"
Nate Robinson,2012,GSW,PG,27,"1192,0","51,0","23,4","2,8","18,0"
Yi Jianlian,2012,DAL,PF,24,"203,0","30,0","6,8","0,0","10,4"
Jeremy Lin,2012,NYK,PG,23,"940,0","35,0","26,9","2,7","19,9"
Landry Fields,2012,NYK,SG,23,"1894,0","66,0","28,7","3,4","12,0"
Greg Stiemsma,2012,BOS,C,26,"766,0","55,0","13,9","2,7","13,6"
Isaiah Thomas,2012,SAC,PG,22,"1656,0","65,0","25,5","4,3","17,6"
Devin Ebanks,2012,LAL,SG,22,"396,0","24,0","16,5","0,3","8,3"
Chris Johnson,2012,NOH,C,26,"175,0","27,0","6,5","0,2","10,8"
Samardo Samuels,2012,CLE,C,23,"825,0","54,0","15,3","0,7","11,1"
Luke Harangody,2012,CLE,PF,24,"231,0","21,0","11,0","0,2","10,4"
Semih Erden,2012,CLE,C,25,"333,0","28,0","11,9","0,4","9,9"
Jeremy Evans,2012,UTA,SF,24,"217,0","29,0","7,5","0,9","19,6"
Dexter Pittman,2012,MIA,C,23,"301,0","35,0","8,6","0,6","10,4"
Jeremy Tyler,2012,GSW,C,20,"568,0","42,0","13,5","-0,2","10,4"
Josh Selby,2012,MEM,PG,20,"237,0","28,0","8,5","-0,5","3,3"
Trey Thompkins,2012,LAC,C,21,"119,0","24,0","5,0","0,0","12,0"
Erick Dampier,2012,ATL,C,36,"83,0","15,0","5,5","0,1","5,5"
Ish Smith,2012,ORL,PG,23,"234,0","26,0","9,0","0,3","14,1"
Travis Leslie,2012,LAC,SG,21,"45,0","10,0","4,5","0,1","14,6"
Malcolm Lee,2012,MIN,SG,21,"243,0","19,0","12,8","0,1","9,3"
Cory Higgins,2012,CHA,PG,22,"423,0","38,0","11,1","-1,3","4,1"
Shelvin Mack,2012,WAS,PG,21,"779,0","64,0","12,2","0,7","11,9"
Josh Harrellson,2012,NYK,PF,22,"540,0","37,0","14,6","1,4","13,7"
Lavoy Allen,2012,PHI,PF,22,"624,0","41,0","15,2","1,6","12,7"
Chris Wright,2012,GSW,SF,23,"186,0","24,0","7,8","0,6","18,6"
Terrel Harris,2012,MIA,SG,24,"318,0","22,0","14,5","0,1","6,7"
Charles Jenkins,2012,GSW,PG,22,"893,0","51,0","17,5","0,5","12,4"
Justin Harper,2012,ORL,PF,22,"84,0","14,0","6,0","-0,3","1,7"
Jordan Williams,2012,NJN,C,21,"635,0","43,0","14,8","1,3","14,5"
Jon Leuer,2012,MIL,PF,22,"555,0","46,0","12,1","1,4","15,3"
DeAndre Liggins,2012,ORL,SF,23,"115,0","17,0","6,8","0,0","8,9"
Andrew Goudelock,2012,LAL,SG,23,"419,0","40,0","10,5","0,1","8,4"
Ivan Johnson,2012,ATL,PF,27,"934,0","56,0","16,7","2,2","14,3"
Julyan Stone,2012,DEN,SG,23,"179,0","22,0","8,1","0,4","13,0"
Darius Morris,2012,LAL,PG,21,"169,0","19,0","8,9","-0,2","5,2"
E'Twaun Moore,2012,BOS,PG,22,"331,0","38,0","8,7","0,2","8,8"
Vernon Macklin,2012,DET,C,25,"135,0","23,0","5,9","0,5","18,2"
Jerome Jordan,2012,NYK,C,25,"108,0","21,0","5,1","0,5","18,3"
Carldell Johnson,2012,NOH,PG,29,"119,0","15,0","7,9","0,0","8,9"
Joel Przybilla,2012,POR,C,32,"449,0","27,0","16,6","0,3","6,0"
Gerald Green,2012,NJN,SF,26,"781,0","31,0","25,2","1,2","15,8"
Ronny Turiaf,2012,MIA,C,29,"279,0","17,0","16,4","0,8","12,3"
Lance Thomas,2012,NOH,PF,23,"630,0","42,0","15,0","1,2","10,1"
Gilbert Arenas,2012,MEM,PG,30,"211,0","17,0","12,4","0,4","9,9"
Terrence Williams,2012,SAC,SG,24,"550,0","30,0","18,3","0,3","13,1"
Manny Harris,2012,CLE,SG,22,"456,0","26,0","17,5","0,3","11,7"
Ryan Hollins,2012,BOS,C,27,"522,0","39,0","13,4","0,2","6,9"
Boris Diaw,2012,SAS,PF,29,"1424,0","57,0","25,0","0,6","11,2"
Bobby Simmons,2012,LAC,SF,31,"418,0","28,0","14,9","0,3","6,0"
Mike James,2012,CHI,PG,36,"120,0","11,0","10,9","0,3","13,7"
Alan Anderson,2012,TOR,SF,29,"461,0","17,0","27,1","0,3","8,7"
Patty Mills,2012,SAS,PG,23,"261,0","16,0","16,3","0,9","21,5"
Cartier Martin,2012,WAS,SF,27,"391,0","17,0","23,0","0,7","12,8"
Ben Uzoh,2012,TOR,PG,23,"370,0","18,0","20,6","0,2","10,9"
Donald Sloan,2012,CLE,PG,24,"669,0","33,0","20,3","-0,3","8,9"
Courtney Fortson,2012,HOU,PG,23,"95,0","10,0","9,5","0,0","9,9"
James Singleton,2012,WAS,PF,30,"262,0","12,0","21,8","1,0","19,6"
Mickell Gladness,2012,GSW,PF,25,"252,0","26,0","9,7","0,2","9,5"
Sean Williams,2012,BOS,C,25,"107,0","11,0","9,7","0,4","18,7"
Lester Hudson,2012,MEM,PG,27,"334,0","16,0","20,9","0,1","13,9"
Kobe Bryant,2013,LAL,SG,34,"3013,0","78,0","38,6","10,9","23,0"
Dirk Nowitzki,2013,DAL,PF,34,"1661,0","53,0","31,3","5,0","19,8"
Amar'e Stoudemire,2013,NYK,PF,30,"682,0","29,0","23,5","2,7","22,1"
Joe Johnson,2013,BRK,SG,31,"2642,0","72,0","36,7","5,1","14,1"
Pau Gasol,2013,LAL,PF,32,"1655,0","49,0","33,8","3,7","16,7"
Chris Bosh,2013,MIA,C,28,"2454,0","74,0","33,2","9,0","20,0"
LeBron James,2013,MIA,PF,28,"2877,0","76,0","37,9","19,3","31,6"
Dwyane Wade,2013,MIA,SG,31,"2391,0","69,0","34,7","9,6","24,0"
Chris Paul,2013,LAC,PG,27,"2335,0","70,0","33,4","13,9","26,4"
Kevin Durant,2013,OKC,SF,24,"3119,0","81,0","38,5","18,9","28,3"
Deron Williams,2013,BRK,PG,28,"2842,0","78,0","36,4","10,9","20,3"
Paul Pierce,2013,BOS,SF,35,"2575,0","77,0","33,4","7,2","19,1"
Zach Randolph,2013,MEM,PF,31,"2607,0","76,0","34,3","7,9","17,9"
Rudy Gay,2013,TOR,SF,26,"2687,0","75,0","35,8","4,0","15,6"
Carlos Boozer,2013,CHI,PF,31,"2546,0","79,0","32,2","5,7","17,1"
Andre Iguodala,2013,DEN,SG,29,"2779,0","80,0","34,7","5,6","15,2"
Russell Westbrook,2013,OKC,PG,24,"2861,0","82,0","34,9","11,6","23,9"
Emeka Okafor,2013,WAS,C,30,"2052,0","79,0","26,0","4,5","15,8"
Luol Deng,2013,CHI,SF,27,"2903,0","75,0","38,7","6,3","15,1"
Marc Gasol,2013,MEM,C,28,"2796,0","80,0","35,0","11,5","19,5"
Blake Griffin,2013,LAC,PF,23,"2598,0","80,0","32,5","10,6","22,4"
Brook Lopez,2013,BRK,C,24,"2253,0","74,0","30,4","9,0","24,7"
Eric Gordon,2013,NOH,SG,24,"1264,0","42,0","30,1","1,1","15,4"
Roy Hibbert,2013,IND,C,26,"2269,0","79,0","28,7","6,1","17,3"
Kevin Love,2013,MIN,PF,24,"618,0","18,0","34,3","1,1","17,9"
Tyson Chandler,2013,NYK,C,30,"2164,0","66,0","32,8","9,3","18,9"
LaMarcus Aldridge,2013,POR,PF,27,"2790,0","74,0","37,7","7,2","20,4"
Al Jefferson,2013,UTA,C,28,"2578,0","78,0","33,1","7,7","20,9"
Ben Gordon,2013,CHA,SG,29,"1560,0","75,0","20,8","-0,6","12,7"
Josh Smith,2013,ATL,PF,27,"2683,0","76,0","35,3","4,2","17,7"
Andrew Bogut,2013,GSW,C,28,"786,0","32,0","24,6","1,7","13,8"
David Lee,2013,GSW,PF,29,"2907,0","79,0","36,8","9,1","19,2"
Tony Parker,2013,SAS,PG,30,"2174,0","66,0","32,9","9,3","23,0"
Kevin Martin,2013,OKC,SG,29,"2136,0","77,0","27,7","7,0","16,0"
Serge Ibaka,2013,OKC,PF,23,"2486,0","80,0","31,1","9,4","19,4"
Al Horford,2013,ATL,C,26,"2756,0","74,0","37,2","8,8","19,8"
Kris Humphries,2013,BRK,PF,27,"1191,0","65,0","18,3","2,7","13,6"
Kevin Garnett,2013,BOS,C,36,"2022,0","68,0","29,7","5,6","19,2"
Joakim Noah,2013,CHI,C,27,"2426,0","66,0","36,8","7,3","18,1"
Rajon Rondo,2013,BOS,PG,26,"1423,0","38,0","37,4","3,2","18,1"
Monta Ellis,2013,MIL,SG,27,"3076,0","82,0","37,5","4,6","16,2"
DeAndre Jordan,2013,LAC,C,24,"2010,0","82,0","24,5","6,2","17,2"
Corey Maggette,2013,DET,SF,33,"257,0","18,0","14,3","0,1","7,9"
Nicolas Batum,2013,POR,SF,24,"2807,0","73,0","38,5","5,8","15,7"
Richard Jefferson,2013,GSW,SF,32,"568,0","56,0","10,1","1,0","10,3"
Stephen Jackson,2013,SAS,SF,34,"1075,0","55,0","19,5","0,3","8,0"
Andrea Bargnani,2013,TOR,PF,27,"1003,0","35,0","28,7","0,1","11,2"
JaVale McGee,2013,DEN,C,25,"1433,0","79,0","18,1","4,9","20,7"
