player,season,team,pos,age,minutos_totales,partidos_totales,minutos_por_partido,ws,per
Emeka Okafor,2011,NOH,C,28,"2287,0","72,0","31,8","6,5","16,0"
Luol Deng,2011,CHI,SF,25,"3208,0","82,0","39,1","9,9","15,5"
LaMarcus Aldridge,2011,POR,PF,25,"3211,0","81,0","39,6","11,1","21,5"
Tayshaun Prince,2011,DET,SF,30,"2562,0","78,0","32,8","3,3","15,1"
Monta Ellis,2011,GSW,SG,25,"3227,0","80,0","40,3","6,0","18,6"
Andrew Bogut,2011,MIL,C,26,"2297,0","65,0","35,3","5,4","16,7"
Danny Granger,2011,IND,SF,27,"2763,0","79,0","35,0","6,9","17,8"
David Lee,2011,GSW,PF,27,"2634,0","73,0","36,1","6,0","17,8"
Jamal Crawford,2011,ATL,SG,30,"2297,0","76,0","30,2","3,4","14,2"
Ben Gordon,2011,DET,SG,27,"2131,0","82,0","26,0","1,7","12,4"
Kevin Martin,2011,HOU,SG,27,"2603,0","80,0","32,5","9,5","21,4"
Mike Dunleavy,2011,IND,SG,30,"1683,0","61,0","27,6","4,5","14,6"
Caron Butler,2011,DAL,SF,30,"867,0","29,0","29,9","1,2","14,2"
Gerald Wallace,2011,POR,SF-PF,28,"2693,0","71,0","37,9","6,2","16,2"
Steve Nash,2011,PHO,PG,36,"2497,0","75,0","33,3","7,9","20,8"
Ray Allen,2011,BOS,SG,35,"2890,0","80,0","36,1","10,0","16,4"
Mehmet Okur,2011,UTA,C,31,"168,0","13,0","12,9","0,2","12,6"
Jason Terry,2011,DAL,SG,33,"2564,0","82,0","31,3","5,3","15,9"
Corey Maggette,2011,MIL,SF,31,"1401,0","67,0","20,9","3,4","15,8"
Mo Williams,2011,LAC,PG,28,"1788,0","58,0","30,8","1,0","13,9"
Kirk Hinrich,2011,ATL,SG-PG,30,"2157,0","72,0","30,0","3,0","12,3"
Rajon Rondo,2011,BOS,PG,24,"2527,0","68,0","37,2","6,6","17,1"
Boris Diaw,2011,CHA,PF,28,"2778,0","82,0","33,9","4,8","13,9"
Devin Harris,2011,UTA,PG,27,"2254,0","71,0","31,7","4,2","17,2"
Jason Kidd,2011,DAL,PG,37,"2653,0","80,0","33,2","6,4","14,4"
Andrea Bargnani,2011,TOR,C,25,"2353,0","66,0","35,7","2,5","16,4"
T.J. Ford,2011,IND,PG,27,"773,0","41,0","18,9","0,2","9,9"
Stephen Jackson,2011,CHA,SG,32,"2405,0","67,0","35,9","1,9","14,6"
Richard Jefferson,2011,SAS,SF,30,"2459,0","81,0","30,4","5,9","12,4"
David West,2011,NOH,PF,30,"2451,0","70,0","35,0","7,8","20,4"
Lamar Odom,2011,LAL,PF,31,"2639,0","82,0","32,2","10,1","19,4"
John Salmons,2011,MIL,SG,31,"2554,0","73,0","35,0","4,3","12,8"
